entry_time,exit_time,side,entry,exit,sl,tp,R,reason,gross_$,fee_$,net_$,cum_net_$
2023-01-03 19:40:00,2023-01-03 19:55:00,L,1.77688,1.77829,1.77618,1.77829,2.0,tp,2.0,0.64,1.36,1.36
2023-01-03 20:05:00,2023-01-04 03:10:00,L,1.77943,1.77618,1.77618,1.78593,-1.0,sl,-4.64,0.64,-5.28,-3.92
2023-01-04 17:45:00,2023-01-04 19:25:00,S,1.75873,1.76091,1.76091,1.75436,-1.0,sl,-3.11,0.64,-3.75,-7.67
2023-01-04 21:20:00,2023-01-05 00:00:00,S,1.76247,1.76632,1.76632,1.75478,-1.0,sl,-5.49,0.64,-6.13,-13.8
2023-01-06 15:15:00,2023-01-06 15:20:00,S,1.762,1.76371,1.76371,1.75859,-1.0,sl,-2.43,0.64,-3.07,-16.87
2023-01-06 15:30:00,2023-01-06 23:30:00,S,1.76077,1.7576,1.76469,1.75292,0.808,time,4.52,0.64,3.88,-12.99
2023-01-09 17:05:00,2023-01-09 19:05:00,S,1.75522,1.75854,1.75854,1.74858,-1.0,sl,-4.73,0.64,-5.37,-18.36
2023-01-11 14:50:00,2023-01-11 17:00:00,S,1.75924,1.76189,1.76189,1.75393,-1.0,sl,-3.79,0.64,-4.43,-22.79
2023-01-11 17:20:00,2023-01-11 18:10:00,S,1.7602,1.75633,1.76213,1.75633,2.0,tp,5.52,0.64,4.88,-17.91
2023-01-12 14:05:00,2023-01-12 14:45:00,S,1.76158,1.75846,1.76314,1.75846,2.0,tp,4.44,0.64,3.8,-14.11
2023-01-19 17:25:00,2023-01-19 17:55:00,L,1.78807,1.79376,1.78522,1.79376,2.0,tp,8.12,0.64,7.48,-6.63
2023-01-23 16:05:00,2023-01-23 16:10:00,S,1.76952,1.77042,1.77042,1.76772,-1.0,sl,-1.28,0.64,-1.92,-8.55
2023-01-23 16:35:00,2023-01-23 16:45:00,S,1.77059,1.76787,1.77195,1.76787,2.0,tp,3.89,0.64,3.25,-5.3
2023-01-23 16:50:00,2023-01-23 17:55:00,S,1.76827,1.76086,1.77198,1.76086,2.0,tp,10.57,0.64,9.93,4.63
2023-01-25 15:00:00,2023-01-25 15:40:00,S,1.7407,1.74283,1.74283,1.73644,-1.0,sl,-3.04,0.64,-3.68,0.95
2023-01-25 15:50:00,2023-01-25 15:55:00,S,1.74233,1.74326,1.74326,1.74046,-1.0,sl,-1.33,0.64,-1.97,-1.02
2023-02-01 14:05:00,2023-02-01 17:00:00,S,1.74066,1.7433,1.7433,1.73539,-1.0,sl,-3.76,0.64,-4.4,-5.42
2023-02-01 17:10:00,2023-02-01 17:45:00,S,1.74344,1.74094,1.74469,1.74094,2.0,tp,3.56,0.64,2.92,-2.5
2023-02-01 17:50:00,2023-02-01 21:55:00,S,1.74172,1.73579,1.74469,1.73579,2.0,tp,8.46,0.64,7.82,5.32
2023-02-02 18:00:00,2023-02-03 00:15:00,S,1.73069,1.72563,1.73322,1.72563,2.0,tp,7.21,0.64,6.57,11.89
2023-02-07 18:00:00,2023-02-07 19:45:00,S,1.73687,1.73014,1.74023,1.73014,2.0,tp,9.6,0.64,8.96,20.85
2023-02-13 16:05:00,2023-02-13 17:05:00,S,1.74321,1.74453,1.74453,1.74057,-1.0,sl,-1.88,0.64,-2.52,18.33
2023-02-16 15:20:00,2023-02-16 15:30:00,S,1.74368,1.74549,1.74549,1.74007,-1.0,sl,-2.57,0.64,-3.21,15.12
2023-02-16 15:35:00,2023-02-16 17:00:00,S,1.74431,1.74581,1.74581,1.74131,-1.0,sl,-2.14,0.64,-2.78,12.34
2023-02-21 16:50:00,2023-02-22 00:50:00,L,1.76108,1.76489,1.75638,1.77047,0.811,time,5.43,0.64,4.79,17.13
2023-02-22 18:05:00,2023-02-22 18:30:00,L,1.77063,1.76901,1.76901,1.77387,-1.0,sl,-2.31,0.64,-2.95,14.18
2023-02-22 19:05:00,2023-02-22 19:35:00,L,1.76977,1.76866,1.76866,1.772,-1.0,sl,-1.59,0.64,-2.23,11.95
2023-02-22 21:15:00,2023-02-23 02:55:00,L,1.77002,1.76717,1.76717,1.77572,-1.0,sl,-4.06,0.64,-4.7,7.25
2023-02-24 14:05:00,2023-02-24 17:25:00,L,1.77209,1.77798,1.76915,1.77798,2.0,tp,8.39,0.64,7.75,15.0
2023-02-24 19:15:00,2023-02-27 00:00:00,L,1.7747,1.77258,1.77258,1.77893,-1.0,sl,-3.02,0.64,-3.66,11.34
2023-02-28 18:35:00,2023-02-28 19:00:00,L,1.79457,1.79278,1.79278,1.79815,-1.0,sl,-2.55,0.64,-3.19,8.15
2023-03-06 16:00:00,2023-03-06 16:10:00,L,1.78363,1.78294,1.78294,1.78501,-1.0,sl,-0.98,0.64,-1.62,6.53
2023-03-06 16:35:00,2023-03-06 17:00:00,L,1.78262,1.78448,1.78169,1.78448,2.0,tp,2.65,0.64,2.01,8.54
2023-03-06 17:05:00,2023-03-07 01:05:00,L,1.78481,1.78634,1.78167,1.7911,0.487,time,2.18,0.64,1.54,10.08
2023-03-07 18:30:00,2023-03-07 19:20:00,L,1.79699,1.79511,1.79511,1.80075,-1.0,sl,-2.68,0.64,-3.32,6.76
2023-03-10 16:10:00,2023-03-10 20:45:00,L,1.81938,1.82889,1.81462,1.82889,2.0,tp,13.56,0.64,12.92,19.68
2023-03-13 17:40:00,2023-03-13 19:25:00,L,1.81556,1.82437,1.81115,1.82437,2.0,tp,12.57,0.64,11.93,31.61
2023-03-21 15:50:00,2023-03-21 16:00:00,L,1.83038,1.83268,1.82923,1.83268,2.0,tp,3.28,0.64,2.64,34.25
2023-03-21 16:05:00,2023-03-22 00:05:00,L,1.83341,1.83169,1.82922,1.84178,-0.411,time,-2.45,0.64,-3.09,31.16
2023-03-22 16:30:00,2023-03-22 17:55:00,L,1.8324,1.83,1.83,1.8372,-1.0,sl,-3.42,0.64,-4.06,27.1
2023-03-22 21:05:00,2023-03-23 05:05:00,L,1.82988,1.82997,1.82395,1.84175,0.015,time,0.13,0.64,-0.51,26.59
2023-03-29 16:00:00,2023-03-29 16:15:00,L,1.84704,1.84531,1.84531,1.8505,-1.0,sl,-2.46,0.64,-3.1,23.49
2023-03-31 16:45:00,2023-03-31 16:50:00,L,1.84527,1.84649,1.84466,1.84649,2.0,tp,1.75,0.64,1.11,24.6
2023-04-05 15:30:00,2023-04-05 16:55:00,L,1.86036,1.85843,1.85843,1.86423,-1.0,sl,-2.76,0.64,-3.4,21.2
2023-04-05 17:00:00,2023-04-05 17:00:00,L,1.85979,1.85814,1.85814,1.86309,-1.0,sl,-2.36,0.64,-3.0,18.2
2023-04-05 17:15:00,2023-04-05 17:35:00,L,1.85963,1.85624,1.85624,1.8664,-1.0,sl,-4.83,0.64,-5.47,12.73
2023-04-05 19:25:00,2023-04-06 00:00:00,L,1.85509,1.85286,1.85286,1.85954,-1.0,sl,-3.17,0.64,-3.81,8.92
2023-04-07 17:05:00,2023-04-10 01:10:00,L,1.86148,1.8623,1.85822,1.868,0.252,time,1.17,0.64,0.53,9.45
2023-04-19 15:45:00,2023-04-19 23:45:00,L,1.85012,1.85231,1.84814,1.85407,1.108,time,3.12,0.64,2.48,11.93
2023-04-21 14:05:00,2023-04-21 18:30:00,L,1.85095,1.85552,1.84867,1.85552,2.0,tp,6.51,0.64,5.87,17.8
2023-04-25 15:25:00,2023-04-25 15:45:00,L,1.86825,1.86762,1.86762,1.86951,-1.0,sl,-0.9,0.64,-1.54,16.26
2023-04-25 16:15:00,2023-04-25 16:55:00,L,1.86741,1.87013,1.86605,1.87013,2.0,tp,3.88,0.64,3.24,19.5
2023-04-25 17:15:00,2023-04-25 20:40:00,L,1.86887,1.87368,1.86646,1.87368,2.0,tp,6.86,0.64,6.22,25.72
2023-04-26 18:00:00,2023-04-26 18:10:00,L,1.88692,1.8858,1.8858,1.88917,-1.0,sl,-1.6,0.64,-2.24,23.48
2023-04-26 18:20:00,2023-04-26 21:55:00,L,1.88683,1.88946,1.88551,1.88946,2.0,tp,3.76,0.64,3.12,26.6
2023-05-03 15:20:00,2023-05-03 22:25:00,L,1.87717,1.88153,1.87499,1.88153,2.0,tp,6.21,0.64,5.57,32.17
2023-05-10 17:05:00,2023-05-11 01:05:00,L,1.86458,1.86205,1.85907,1.8756,-0.459,time,-3.61,0.64,-4.25,27.92
2023-05-11 14:05:00,2023-05-11 22:05:00,L,1.86988,1.86766,1.86462,1.8804,-0.422,time,-3.17,0.64,-3.81,24.11
2023-05-12 15:50:00,2023-05-12 15:55:00,L,1.87181,1.87295,1.87124,1.87295,2.0,tp,1.62,0.64,0.98,25.09
2023-05-12 16:20:00,2023-05-12 16:35:00,L,1.87216,1.87088,1.87088,1.87473,-1.0,sl,-1.83,0.64,-2.47,22.62
2023-05-12 16:50:00,2023-05-12 17:30:00,L,1.87194,1.87658,1.86962,1.87658,2.0,tp,6.61,0.64,5.97,28.59
2023-05-12 18:00:00,2023-05-15 02:05:00,L,1.87464,1.87356,1.86987,1.88417,-0.227,time,-1.54,0.64,-2.18,26.41
2023-05-16 16:55:00,2023-05-17 00:55:00,L,1.87428,1.87477,1.87043,1.88199,0.127,time,0.7,0.64,0.06,26.47
2023-05-18 15:15:00,2023-05-18 15:55:00,L,1.87355,1.87635,1.87215,1.87635,2.0,tp,3.99,0.64,3.35,29.82
2023-05-24 14:05:00,2023-05-24 17:45:00,L,1.88584,1.89232,1.8826,1.89232,2.0,tp,9.25,0.64,8.61,38.43
2023-05-31 20:55:00,2023-05-31 22:10:00,L,1.91274,1.91146,1.91146,1.91531,-1.0,sl,-1.83,0.64,-2.47,35.96
2023-05-31 22:50:00,2023-06-01 03:40:00,L,1.91176,1.91453,1.91037,1.91453,2.0,tp,3.95,0.64,3.31,39.27
2023-06-09 14:05:00,2023-06-09 22:05:00,S,1.86852,1.86636,1.87129,1.86298,0.779,time,3.08,0.64,2.44,41.71
2023-06-14 21:00:00,2023-06-14 21:00:00,S,1.8587,1.86209,1.86209,1.85191,-1.0,sl,-4.84,0.64,-5.48,36.23
2023-06-19 17:45:00,2023-06-19 19:30:00,L,1.86942,1.86751,1.86751,1.87325,-1.0,sl,-2.73,0.64,-3.37,32.86
2023-06-20 14:35:00,2023-06-20 22:35:00,L,1.87983,1.88011,1.87619,1.88711,0.077,time,0.4,0.64,-0.24,32.62
2023-06-21 14:05:00,2023-06-21 15:45:00,L,1.87767,1.88394,1.87453,1.88394,2.0,tp,8.94,0.64,8.3,40.92
2023-06-23 19:30:00,2023-06-23 20:00:00,L,1.8995,1.90118,1.89866,1.90118,2.0,tp,2.4,0.64,1.76,42.68
2023-06-26 15:05:00,2023-06-26 23:05:00,L,1.90272,1.90387,1.90071,1.90674,0.572,time,1.64,0.64,1.0,43.68
2023-06-27 15:50:00,2023-06-27 16:05:00,L,1.90099,1.89916,1.89916,1.90466,-1.0,sl,-2.61,0.64,-3.25,40.43
2023-06-27 16:45:00,2023-06-27 17:10:00,L,1.90066,1.90457,1.89871,1.90457,2.0,tp,5.57,0.64,4.93,45.36
2023-06-28 14:55:00,2023-06-28 16:40:00,L,1.91172,1.91016,1.91016,1.91484,-1.0,sl,-2.22,0.64,-2.86,42.5
2023-06-28 17:25:00,2023-06-28 17:45:00,L,1.9094,1.90733,1.90733,1.91354,-1.0,sl,-2.95,0.64,-3.59,38.91
2023-06-28 17:50:00,2023-06-28 21:55:00,L,1.9091,1.91355,1.90688,1.91355,2.0,tp,6.34,0.64,5.7,44.61
2023-07-05 16:35:00,2023-07-05 16:35:00,L,1.90476,1.90634,1.90397,1.90634,2.0,tp,2.25,0.64,1.61,46.22
2023-07-05 16:40:00,2023-07-06 00:40:00,L,1.90617,1.90773,1.90398,1.91055,0.712,time,2.22,0.64,1.58,47.8
2023-07-07 17:00:00,2023-07-07 17:10:00,L,1.92058,1.91851,1.91851,1.92472,-1.0,sl,-2.95,0.64,-3.59,44.21
2023-07-07 18:25:00,2023-07-07 19:25:00,L,1.92055,1.91833,1.91833,1.92499,-1.0,sl,-3.16,0.64,-3.8,40.41
2023-07-10 15:35:00,2023-07-10 16:45:00,L,1.92413,1.92271,1.92271,1.92697,-1.0,sl,-2.02,0.64,-2.66,37.75
2023-07-10 17:30:00,2023-07-11 01:30:00,L,1.92306,1.9266,1.92041,1.92837,1.334,time,5.05,0.64,4.41,42.16
2023-07-17 14:35:00,2023-07-17 15:10:00,L,1.91893,1.92029,1.91825,1.92029,2.0,tp,1.94,0.64,1.3,43.46
2023-07-17 15:15:00,2023-07-17 16:40:00,L,1.91985,1.92305,1.91825,1.92305,2.0,tp,4.56,0.64,3.92,47.38
2023-07-21 14:10:00,2023-07-21 15:25:00,L,1.90452,1.90209,1.90209,1.90937,-1.0,sl,-3.46,0.64,-4.1,43.28
2023-07-26 22:05:00,2023-07-27 05:00:00,L,1.9118,1.90913,1.90913,1.91714,-1.0,sl,-3.81,0.64,-4.45,38.83
2023-07-27 17:05:00,2023-07-28 01:05:00,L,1.90465,1.90686,1.9012,1.91154,0.641,time,3.15,0.64,2.51,41.34
2023-08-01 15:20:00,2023-08-01 15:40:00,L,1.92806,1.93016,1.92701,1.93016,2.0,tp,2.99,0.64,2.35,43.69
2023-08-02 14:25:00,2023-08-02 15:15:00,L,1.94167,1.93907,1.93907,1.94687,-1.0,sl,-3.7,0.64,-4.34,39.35
2023-08-02 15:30:00,2023-08-02 15:30:00,L,1.93934,1.93825,1.93825,1.94151,-1.0,sl,-1.55,0.64,-2.19,37.16
2023-08-02 15:45:00,2023-08-02 15:50:00,L,1.93896,1.93783,1.93783,1.94122,-1.0,sl,-1.61,0.64,-2.25,34.91
2023-08-02 16:00:00,2023-08-02 16:05:00,L,1.93858,1.93767,1.93767,1.9404,-1.0,sl,-1.3,0.64,-1.94,32.97
2023-08-02 16:45:00,2023-08-02 17:40:00,L,1.93761,1.94173,1.93555,1.94173,2.0,tp,5.87,0.64,5.23,38.2
2023-08-08 16:00:00,2023-08-08 20:55:00,L,1.95088,1.94892,1.94892,1.95481,-1.0,sl,-2.8,0.64,-3.44,34.76
2023-08-15 14:35:00,2023-08-15 15:00:00,L,1.96264,1.96452,1.9617,1.96452,2.0,tp,2.69,0.64,2.05,36.81
2023-08-15 15:10:00,2023-08-15 15:30:00,L,1.96455,1.9617,1.9617,1.97026,-1.0,sl,-4.07,0.64,-4.71,32.1
2023-08-15 15:35:00,2023-08-15 23:35:00,L,1.96338,1.96737,1.96047,1.9692,1.37,time,5.69,0.64,5.05,37.15
2023-08-17 14:20:00,2023-08-17 19:00:00,L,1.98354,1.98819,1.98121,1.98819,2.0,tp,6.63,0.64,5.99,43.14
2023-08-29 14:25:00,2023-08-29 17:35:00,L,1.95909,1.95453,1.95453,1.9682,-1.0,sl,-6.5,0.64,-7.14,36.0
2023-08-30 17:05:00,2023-08-30 20:45:00,L,1.95566,1.96239,1.95229,1.96239,2.0,tp,9.6,0.64,8.96,44.96
2023-09-05 18:30:00,2023-09-06 00:00:00,L,1.9693,1.9675,1.9675,1.9729,-1.0,sl,-2.57,0.64,-3.21,41.75
2023-09-15 17:15:00,2023-09-15 17:40:00,S,1.92576,1.92298,1.92715,1.92298,2.0,tp,3.97,0.64,3.33,45.08
2023-09-18 14:10:00,2023-09-18 16:35:00,S,1.92542,1.92689,1.92689,1.92248,-1.0,sl,-2.1,0.64,-2.74,42.34
2023-09-20 16:45:00,2023-09-20 21:00:00,S,1.90832,1.91066,1.91066,1.90364,-1.0,sl,-3.33,0.64,-3.97,38.37
2023-09-20 21:20:00,2023-09-20 22:25:00,S,1.90885,1.9127,1.9127,1.90115,-1.0,sl,-5.49,0.64,-6.13,32.24
2023-09-26 14:20:00,2023-09-26 16:15:00,S,1.90186,1.89892,1.90333,1.89892,2.0,tp,4.2,0.64,3.56,35.8
2023-09-29 15:10:00,2023-09-29 15:30:00,S,1.88965,1.88674,1.89111,1.88674,2.0,tp,4.15,0.64,3.51,39.31
2023-09-29 15:35:00,2023-09-29 17:45:00,S,1.88786,1.89113,1.89113,1.88133,-1.0,sl,-4.66,0.64,-5.3,34.01
2023-10-10 21:05:00,2023-10-11 00:05:00,S,1.91181,1.90834,1.91354,1.90834,2.0,tp,4.94,0.64,4.3,38.31
2023-10-13 14:25:00,2023-10-13 15:55:00,L,1.92802,1.92638,1.92638,1.9313,-1.0,sl,-2.34,0.64,-2.98,35.33
2023-10-16 15:35:00,2023-10-16 16:25:00,S,1.92372,1.9252,1.9252,1.92075,-1.0,sl,-2.11,0.64,-2.75,32.58
2023-10-16 18:05:00,2023-10-17 01:05:00,S,1.92425,1.92721,1.92721,1.91834,-1.0,sl,-4.21,0.64,-4.85,27.73
2023-10-23 16:40:00,2023-10-23 17:20:00,L,1.92627,1.92875,1.92503,1.92875,2.0,tp,3.54,0.64,2.9,30.63
2023-10-23 17:50:00,2023-10-24 01:50:00,L,1.93029,1.93378,1.92637,1.93814,0.89,time,4.98,0.64,4.34,34.97
2023-10-25 14:45:00,2023-10-25 16:30:00,S,1.9124,1.91435,1.91435,1.9085,-1.0,sl,-2.78,0.64,-3.42,31.55
2023-10-26 15:10:00,2023-10-26 15:30:00,S,1.91776,1.9186,1.9186,1.91608,-1.0,sl,-1.2,0.64,-1.84,29.71
2023-10-26 15:45:00,2023-10-26 16:55:00,S,1.91712,1.91937,1.91937,1.91262,-1.0,sl,-3.21,0.64,-3.85,25.86
