symbol,overlay,trades,WR_%,exp_R,PF,q_pass_%,score
USDMXN,"{'adx_min': 20.0, 'require_h1_rsi_align': True, 'require_macd_align': True}",121,58.68,0.76,2.52,0.0,10.68
XAUUSD,{},256,52.73,0.582,1.97,66.7,38.07
XAUUSD,{'adx_min': 18.0},238,52.1,0.563,1.89,66.7,37.43
XAUUSD,{'add_vol_confirm': True},318,50.63,0.519,1.86,66.7,35.96
XAUUSD,{'require_h1_rsi_align': True},204,53.92,0.618,2.11,50.0,30.92
XAUUSD,"{'adx_min': 18.0, 'require_h1_rsi_align': True}",187,52.94,0.588,1.99,50.0,29.94
XAUUSD,{'adx_min': 22.0},196,51.02,0.531,1.73,50.0,28.02
XAUUSD,"{'adx_min': 18.0, 'add_vol_confirm': True}",291,49.14,0.474,1.76,50.0,26.14
XAUUSD,"{'adx_min': 18.0, 'require_macd_align': True}",166,53.01,0.59,1.83,33.3,21.68
XAUUSD,"{'require_h1_rsi_align': True, 'require_macd_align': True}",158,52.53,0.576,1.9,33.3,21.2
XAUUSD,{'require_macd_align': True},190,52.11,0.563,1.8,33.3,20.77
XAUUSD,"{'adx_min': 20.0, 'require_h1_rsi_align': True, 'require_macd_align': True}",120,50.0,0.5,1.61,16.7,10.33
